filt,dist,age,feh,runs,age_bin,feh_meas,massdiff
WFIRST_X625,4,9.30,-2.20,1,8.40,0.0,0.0
WFIRST_X625,4,9.30,-2.20,1,8.45,0.0,0.0
WFIRST_X625,4,9.30,-2.20,1,8.50,0.0,0.0
WFIRST_X625,4,9.30,-2.20,1,8.55,0.0,0.0
WFIRST_X625,4,9.30,-2.20,1,8.60,0.0,0.0
WFIRST_X625,4,9.30,-2.20,1,8.65,0.0,0.0
WFIRST_X625,4,9.30,-2.20,1,8.70,0.0,0.0
WFIRST_X625,4,9.30,-2.20,1,8.75,0.0,0.0
WFIRST_X625,4,9.30,-2.20,1,8.80,0.0,0.0
WFIRST_X625,4,9.30,-2.20,1,8.85,0.0,0.0
WFIRST_X625,4,9.30,-2.20,1,8.90,0.0,0.0
WFIRST_X625,4,9.30,-2.20,1,8.95,0.0,0.0
WFIRST_X625,4,9.30,-2.20,1,9.00,0.0,0.0
WFIRST_X625,4,9.30,-2.20,1,9.05,-1.65,9.999999999998899e-05
WFIRST_X625,4,9.30,-2.20,1,9.10,-1.65,0.000500000000000056
WFIRST_X625,4,9.30,-2.20,1,9.15,0.0,0.0
WFIRST_X625,4,9.30,-2.20,1,9.20,0.0,0.0
WFIRST_X625,4,9.30,-2.20,1,9.25,0.0,0.0
WFIRST_X625,4,9.30,-2.20,1,9.30,-2.193,0.7628999999999999
WFIRST_X625,4,9.30,-2.20,1,9.35,-2.248,0.0739
WFIRST_X625,4,9.30,-2.20,1,9.40,-2.25,0.134
WFIRST_X625,4,9.30,-2.20,1,9.45,0.0,0.0
WFIRST_X625,4,9.30,-2.20,1,9.50,-2.25,0.0008000000000000021
WFIRST_X625,4,9.30,-2.20,1,9.55,-2.15,0.027800000000000047
WFIRST_X625,4,9.30,-2.20,2,8.40,0.0,0.0
WFIRST_X625,4,9.30,-2.20,2,8.45,0.0,0.0
WFIRST_X625,4,9.30,-2.20,2,8.50,0.0,0.0
WFIRST_X625,4,9.30,-2.20,2,8.55,0.0,0.0
WFIRST_X625,4,9.30,-2.20,2,8.60,0.0,0.0
WFIRST_X625,4,9.30,-2.20,2,8.65,0.0,0.0
WFIRST_X625,4,9.30,-2.20,2,8.70,-1.75,0.0
WFIRST_X625,4,9.30,-2.20,2,8.75,-1.5959999999999999,0.0
WFIRST_X625,4,9.30,-2.20,2,8.80,-1.6130000000000002,0.0
WFIRST_X625,4,9.30,-2.20,2,8.85,-1.75,0.0
WFIRST_X625,4,9.30,-2.20,2,8.90,-1.65,0.00019999999999997797
WFIRST_X625,4,9.30,-2.20,2,8.95,-1.95,0.0
WFIRST_X625,4,9.30,-2.20,2,9.00,-2.113,0.0
WFIRST_X625,4,9.30,-2.20,2,9.05,0.05,0.0
WFIRST_X625,4,9.30,-2.20,2,9.10,-1.954,0.0
WFIRST_X625,4,9.30,-2.20,2,9.15,0.0,0.0
WFIRST_X625,4,9.30,-2.20,2,9.20,-2.2359999999999998,0.0
WFIRST_X625,4,9.30,-2.20,2,9.25,0.0,0.0
WFIRST_X625,4,9.30,-2.20,2,9.30,-2.1959999999999997,0.736
WFIRST_X625,4,9.30,-2.20,2,9.35,-2.25,0.20919999999999997
WFIRST_X625,4,9.30,-2.20,2,9.40,-2.15,0.0
WFIRST_X625,4,9.30,-2.20,2,9.45,-2.15,0.0
WFIRST_X625,4,9.30,-2.20,2,9.50,-2.15,0.030000000000000002
WFIRST_X625,4,9.30,-2.20,2,9.55,-2.25,0.024600000000000066
WFIRST_X625,4,9.30,-2.20,3,8.40,0.0,0.0
WFIRST_X625,4,9.30,-2.20,3,8.45,0.0,0.0
WFIRST_X625,4,9.30,-2.20,3,8.50,0.0,0.0
WFIRST_X625,4,9.30,-2.20,3,8.55,0.0,0.0
WFIRST_X625,4,9.30,-2.20,3,8.60,0.0,0.0
WFIRST_X625,4,9.30,-2.20,3,8.65,0.0,0.0
WFIRST_X625,4,9.30,-2.20,3,8.70,0.0,0.0
WFIRST_X625,4,9.30,-2.20,3,8.75,0.0,0.0
WFIRST_X625,4,9.30,-2.20,3,8.80,-1.15,0.0
WFIRST_X625,4,9.30,-2.20,3,8.85,0.0,0.0
WFIRST_X625,4,9.30,-2.20,3,8.90,-0.35,0.00019999999999997797
WFIRST_X625,4,9.30,-2.20,3,8.95,-0.10300000000000001,9.999999999998899e-05
WFIRST_X625,4,9.30,-2.20,3,9.00,0.0,0.0
WFIRST_X625,4,9.30,-2.20,3,9.05,-1.65,0.00019999999999997797
WFIRST_X625,4,9.30,-2.20,3,9.10,0.0,0.0
WFIRST_X625,4,9.30,-2.20,3,9.15,0.0,0.0
WFIRST_X625,4,9.30,-2.20,3,9.20,-1.75,0.0016000000000000458
WFIRST_X625,4,9.30,-2.20,3,9.25,0.0,0.0
WFIRST_X625,4,9.30,-2.20,3,9.30,-2.1959999999999997,0.7027
WFIRST_X625,4,9.30,-2.20,3,9.35,-2.239,0.2218
WFIRST_X625,4,9.30,-2.20,3,9.40,0.0,0.0
WFIRST_X625,4,9.30,-2.20,3,9.45,-2.25,0.031000000000000007
WFIRST_X625,4,9.30,-2.20,3,9.50,-2.15,0.0104
WFIRST_X625,4,9.30,-2.20,3,9.55,-2.222,0.03200000000000003
WFIRST_X625,4,9.30,-2.20,4,8.40,0.0,0.0
WFIRST_X625,4,9.30,-2.20,4,8.45,0.0,0.0
WFIRST_X625,4,9.30,-2.20,4,8.50,0.0,0.0
WFIRST_X625,4,9.30,-2.20,4,8.55,0.0,0.0
WFIRST_X625,4,9.30,-2.20,4,8.60,0.0,0.0
