filt,dist,age,feh,age_bin,feh_meas_mean,feh_meas_std,feh_meas_median,massdiff_mean,massdiff_std,massdiff_median
WFIRST_X625,4,10.00,-0.20,10.00,-0.209,0.004213074886588183,-0.21,0.899,0.037896602750114715,0.89525
WFIRST_X625,4,10.00,-0.20,10.05,-0.210125,0.09524630898360313,-0.2375,0.0358,0.018801329740207207,0.0347
WFIRST_X625,4,10.00,-0.20,10.10,-0.23975000000000002,0.33531393872011944,-0.125,0.006025000000000003,0.009333374255862682,9.999999999998899e-05
WFIRST_X625,4,10.00,-0.20,9.10,-0.09999999999999999,0.28394541729001366,0.0,0.0,0.0,0.0
WFIRST_X625,4,10.00,-0.20,9.15,0.0,0.0,0.0,0.0,0.0,0.0
WFIRST_X625,4,10.00,-0.20,9.20,0.0,0.0,0.0,0.0,0.0,0.0
WFIRST_X625,4,10.00,-0.20,9.25,0.00625,0.016535945694153693,0.0,6.249999999999312e-05,0.0001653594569415187,0.0
WFIRST_X625,4,10.00,-0.20,9.30,0.0,0.0,0.0,0.0,0.0,0.0
WFIRST_X625,4,10.00,-0.20,9.35,0.025,0.05,0.0,0.000674999999999995,0.0013376752221671729,0.0
WFIRST_X625,4,10.00,-0.20,9.40,-0.03125,0.2060605190229317,0.0,0.0006000000000000172,0.0009949874371066275,0.0
WFIRST_X625,4,10.00,-0.20,9.45,-0.01875,0.049607837082461075,0.0,0.00019999999999999185,0.0005291502622128965,0.0
WFIRST_X625,4,10.00,-0.20,9.50,0.025,0.05,0.0,0.0004750000000000032,0.0010182705927208133,0.0
WFIRST_X625,4,10.00,-0.20,9.55,0.0,0.0,0.0,0.0,0.0,0.0
WFIRST_X625,4,10.00,-0.20,9.60,0.0,0.0,0.0,0.0,0.0,0.0
WFIRST_X625,4,10.00,-0.20,9.65,-0.01875,0.049607837082461075,0.0,0.00031249999999999334,0.0008267972847076669,0.0
WFIRST_X625,4,10.00,-0.20,9.70,-0.01875,0.049607837082461075,0.0,0.0002375000000000016,0.0006283659363778445,0.0
WFIRST_X625,4,10.00,-0.20,9.75,-0.05625,0.14882351124738322,0.0,3.749999999999587e-05,9.921567416491121e-05,0.0
WFIRST_X625,4,10.00,-0.20,9.80,0.0,0.0,0.0,0.0,0.0,0.0
WFIRST_X625,4,10.00,-0.20,9.85,-0.0625,0.10825317547305482,0.0,0.002887500000000001,0.005200345541403952,0.0
WFIRST_X625,4,10.00,-0.20,9.90,-0.1875,0.10825317547305482,-0.25,0.029837500000000003,0.025892128992224643,0.0262
WFIRST_X625,4,10.00,-0.20,9.95,-0.09825,0.07695087718798273,-0.15,0.02385000000000001,0.026457985562018903,0.0126
WFIRST_X625,4,10.00,-0.50,10.00,-0.513,0.002738612787525833,-0.512,0.9297624999999999,0.03241430770122971,0.93835
WFIRST_X625,4,10.00,-0.50,10.05,-0.552875,0.21357811071128052,-0.634,0.0150625,0.014132138682803818,0.0085
WFIRST_X625,4,10.00,-0.50,10.10,-0.33587500000000003,0.35407853560333197,-0.275,0.005787500000000001,0.013827096360046098,0.0
WFIRST_X625,4,10.00,-0.50,9.10,0.075,0.06123724356957945,0.05,0.0003750000000000142,0.0005356071321407325,4.999999999999449e-05
WFIRST_X625,4,10.00,-0.50,9.15,0.0,0.0,0.0,0.0,0.0,0.0
WFIRST_X625,4,10.00,-0.50,9.20,0.0,0.0,0.0,0.0,0.0,0.0
WFIRST_X625,4,10.00,-0.50,9.25,0.0,0.0,0.0,0.0,0.0,0.0
WFIRST_X625,4,10.00,-0.50,9.30,-0.0625,0.14737282653189496,0.0,0.00011250000000000149,0.0002619040854969696,0.0
WFIRST_X625,4,10.00,-0.50,9.35,0.0,0.0,0.0,0.0,0.0,0.0
WFIRST_X625,4,10.00,-0.50,9.40,0.0,0.0,0.0,0.0,0.0,0.0
WFIRST_X625,4,10.00,-0.50,9.45,-0.05,0.09013878188659974,0.0,0.0015625000000000083,0.0030132779078604847,0.0
WFIRST_X625,4,10.00,-0.50,9.50,-0.18125,0.2749289680990346,0.0,0.0001624999999999821,0.00028256636388640174,0.0
WFIRST_X625,4,10.00,-0.50,9.55,0.0,0.0,0.0,0.0,0.0,0.0
WFIRST_X625,4,10.00,-0.50,9.60,0.0,0.0,0.0,0.0,0.0,0.0
WFIRST_X625,4,10.00,-0.50,9.65,-0.08125,0.21496729402399797,0.0,0.00011249999999998761,0.0002976470224947337,0.0
WFIRST_X625,4,10.00,-0.50,9.70,-0.10625,0.28111107680061276,0.0,0.0,0.0,0.0
WFIRST_X625,4,10.00,-0.50,9.75,-0.10362500000000001,0.27416597960906824,0.0,0.00014999999999999736,0.0003968626966596816,0.0
WFIRST_X625,4,10.00,-0.50,9.80,-0.2,0.35443617196894567,0.0,6.249999999999312e-05,0.0001653594569415187,0.0
WFIRST_X625,4,10.00,-0.50,9.85,-0.25,0.43373378932243684,0.0,7.499999999999174e-05,0.00016393596310753197,0.0
WFIRST_X625,4,10.00,-0.50,9.90,-0.208625,0.27485584289769066,0.0,0.0033500000000000196,0.0055366957655265964,0.0
WFIRST_X625,4,10.00,-0.50,9.95,-0.50725,0.042493381837646164,-0.5285,0.04342500000000002,0.027805698606580612,0.03855000000000003
WFIRST_X625,4,10.00,-0.80,10.00,-0.81825,0.004085033659592056,-0.8180000000000001,0.898475,0.031506894086850264,0.9022
WFIRST_X625,4,10.00,-0.80,10.05,-0.2125,0.3680607966083864,0.0,0.001,0.002462214450449026,0.0
WFIRST_X625,4,10.00,-0.80,10.10,-0.4125,0.41363480269435743,-0.375,0.003537499999999999,0.0039287203705532445,0.0017499999999999738
WFIRST_X625,4,10.00,-0.80,9.10,-0.01875,0.049607837082461075,0.0,0.00013749999999999873,0.0003637908052713778,0.0
WFIRST_X625,4,10.00,-0.80,9.15,-0.03125,0.08267972847076846,0.0,6.249999999999312e-05,0.0001653594569415187,0.0
WFIRST_X625,4,10.00,-0.80,9.20,-0.175,0.37749172176353746,0.0,0.0003125000000000072,0.000789679523604337,0.0
WFIRST_X625,4,10.00,-0.80,9.25,-0.05625,0.14882351124738322,0.0,0.00013749999999999873,0.0003637908052713778,0.0
WFIRST_X625,4,10.00,-0.80,9.30,0.0,0.0,0.0,0.0,0.0,0.0
WFIRST_X625,4,10.00,-0.80,9.35,-0.04375,0.11575161985907582,0.0,0.00027499999999999747,0.0007275816105427556,0.0
WFIRST_X625,4,10.00,-0.80,9.40,-0.1875,0.38140365755980893,0.0,0.0002375000000000016,0.0005914759082160572,0.0
WFIRST_X625,4,10.00,-0.80,9.45,-0.05625,0.14882351124738322,0.0,0.00016250000000000986,0.00042993458804802204,0.0
WFIRST_X625,4,10.00,-0.80,9.50,0.0,0.0,0.0,0.0,0.0,0.0
WFIRST_X625,4,10.00,-0.80,9.55,0.0,0.0,0.0,0.0,0.0,0.0
WFIRST_X625,4,10.00,-0.80,9.60,0.09375,0.07261843774138907,0.15,0.00023749999999998772,0.00025950674365032985,0.00014999999999998348
WFIRST_X625,4,10.00,-0.80,9.65,-0.16875,0.44647053374214973,0.0,3.750000000000975e-05,9.921567416494794e-05,0.0
WFIRST_X625,4,10.00,-0.80,9.70,0.0,0.0,0.0,0.0,0.0,0.0
WFIRST_X625,4,10.00,-0.80,9.75,-0.18125,0.4795424251304571,0.0,0.0,0.0,0.0
WFIRST_X625,4,10.00,-0.80,9.80,0.0,0.0,0.0,0.0,0.0,0.0
WFIRST_X625,4,10.00,-0.80,9.85,-0.24125000000000002,0.44148718837583506,0.0,0.0022375000000000034,0.0055515622801154,0.0
WFIRST_X625,4,10.00,-0.80,9.90,-0.2375,0.4143896113562694,0.0,0.0017625000000000002,0.0034124542121470283,0.0
