filt,dist,age,feh,runs,age_bin,feh_meas,massdiff
WFIRST_X625,4,9.30,-2.20,1,8.40,0.0,0.0
WFIRST_X625,4,9.30,-2.20,1,8.45,0.0,0.0
WFIRST_X625,4,9.30,-2.20,1,8.50,0.0,0.0
WFIRST_X625,4,9.30,-2.20,1,8.55,0.0,0.0
WFIRST_X625,4,9.30,-2.20,1,8.60,0.0,0.0
WFIRST_X625,4,9.30,-2.20,1,8.65,0.0,0.0
WFIRST_X625,4,9.30,-2.20,1,8.70,0.0,0.0
WFIRST_X625,4,9.30,-2.20,1,8.75,0.0,0.0
WFIRST_X625,4,9.30,-2.20,1,8.80,-1.55,0.0
WFIRST_X625,4,9.30,-2.20,1,8.85,-0.95,9.999999999998899e-05
WFIRST_X625,4,9.30,-2.20,1,8.90,-1.85,9.999999999998899e-05
WFIRST_X625,4,9.30,-2.20,1,8.95,-1.95,0.0
WFIRST_X625,4,9.30,-2.20,1,9.00,-1.99,0.0
WFIRST_X625,4,9.30,-2.20,1,9.05,-2.25,0.0
WFIRST_X625,4,9.30,-2.20,1,9.10,0.0,0.0
WFIRST_X625,4,9.30,-2.20,1,9.15,0.0,0.0
WFIRST_X625,4,9.30,-2.20,1,9.20,-2.15,0.0
WFIRST_X625,4,9.30,-2.20,1,9.25,-2.15,0.11609999999999998
WFIRST_X625,4,9.30,-2.20,1,9.30,-2.21,0.8837
WFIRST_X625,4,9.30,-2.20,1,9.35,-2.25,0.0
WFIRST_X625,4,9.30,-2.20,1,9.40,0.0,0.0
WFIRST_X625,4,9.30,-2.20,1,9.45,0.0,0.0
WFIRST_X625,4,9.30,-2.20,1,9.50,0.0,0.0
WFIRST_X625,4,9.30,-2.20,1,9.55,0.0,0.0
WFIRST_X625,4,9.30,-2.20,2,8.40,0.0,0.0
WFIRST_X625,4,9.30,-2.20,2,8.45,0.0,0.0
WFIRST_X625,4,9.30,-2.20,2,8.50,0.0,0.0
WFIRST_X625,4,9.30,-2.20,2,8.55,0.0,0.0
WFIRST_X625,4,9.30,-2.20,2,8.60,0.0,0.0
WFIRST_X625,4,9.30,-2.20,2,8.65,0.0,0.0
WFIRST_X625,4,9.30,-2.20,2,8.70,0.0,0.0
WFIRST_X625,4,9.30,-2.20,2,8.75,0.0,0.0
WFIRST_X625,4,9.30,-2.20,2,8.80,-0.85,0.0
WFIRST_X625,4,9.30,-2.20,2,8.85,-0.85,0.00039999999999995595
WFIRST_X625,4,9.30,-2.20,2,8.90,0.0,0.0
WFIRST_X625,4,9.30,-2.20,2,8.95,0.0,0.0
WFIRST_X625,4,9.30,-2.20,2,9.00,0.0,0.0
WFIRST_X625,4,9.30,-2.20,2,9.05,0.0,0.0
WFIRST_X625,4,9.30,-2.20,2,9.10,0.0,0.0
WFIRST_X625,4,9.30,-2.20,2,9.15,0.0,0.0
WFIRST_X625,4,9.30,-2.20,2,9.20,0.0,0.0
WFIRST_X625,4,9.30,-2.20,2,9.25,-2.15,0.14050000000000007
WFIRST_X625,4,9.30,-2.20,2,9.30,-2.208,0.8591
WFIRST_X625,4,9.30,-2.20,2,9.35,0.0,0.0
WFIRST_X625,4,9.30,-2.20,2,9.40,0.0,0.0
WFIRST_X625,4,9.30,-2.20,2,9.45,0.0,0.0
WFIRST_X625,4,9.30,-2.20,2,9.50,0.0,0.0
WFIRST_X625,4,9.30,-2.20,2,9.55,0.0,0.0
WFIRST_X625,4,9.30,-2.20,3,8.40,0.0,0.0
WFIRST_X625,4,9.30,-2.20,3,8.45,0.0,0.0
WFIRST_X625,4,9.30,-2.20,3,8.50,0.0,0.0
WFIRST_X625,4,9.30,-2.20,3,8.55,0.0,0.0
WFIRST_X625,4,9.30,-2.20,3,8.60,-0.75,0.0
WFIRST_X625,4,9.30,-2.20,3,8.65,0.0,0.0
WFIRST_X625,4,9.30,-2.20,3,8.70,0.0,0.0
WFIRST_X625,4,9.30,-2.20,3,8.75,0.0,0.0
WFIRST_X625,4,9.30,-2.20,3,8.80,0.0,0.0
WFIRST_X625,4,9.30,-2.20,3,8.85,-0.85,0.0014999999999999458
WFIRST_X625,4,9.30,-2.20,3,8.90,0.0,0.0
WFIRST_X625,4,9.30,-2.20,3,8.95,0.0,0.0
WFIRST_X625,4,9.30,-2.20,3,9.00,0.0,0.0
WFIRST_X625,4,9.30,-2.20,3,9.05,0.0,0.0
WFIRST_X625,4,9.30,-2.20,3,9.10,0.0,0.0
WFIRST_X625,4,9.30,-2.20,3,9.15,0.0,0.0
WFIRST_X625,4,9.30,-2.20,3,9.20,0.0,0.0
WFIRST_X625,4,9.30,-2.20,3,9.25,-2.155,0.14590000000000003
WFIRST_X625,4,9.30,-2.20,3,9.30,-2.209,0.8526
WFIRST_X625,4,9.30,-2.20,3,9.35,0.0,0.0
WFIRST_X625,4,9.30,-2.20,3,9.40,0.0,0.0
WFIRST_X625,4,9.30,-2.20,3,9.45,0.0,0.0
WFIRST_X625,4,9.30,-2.20,3,9.50,0.0,0.0
WFIRST_X625,4,9.30,-2.20,3,9.55,0.0,0.0
WFIRST_X625,4,9.30,-2.20,4,8.40,0.0,0.0
WFIRST_X625,4,9.30,-2.20,4,8.45,0.0,0.0
WFIRST_X625,4,9.30,-2.20,4,8.50,0.0,0.0
WFIRST_X625,4,9.30,-2.20,4,8.55,0.0,0.0
WFIRST_X625,4,9.30,-2.20,4,8.60,0.0,0.0
WFIRST_X625,4,9.30,-2.20,4,8.65,0.0,0.0
WFIRST_X625,4,9.30,-2.20,4,8.70,0.0,0.0
WFIRST_X625,4,9.30,-2.20,4,8.75,0.0,0.0
